question,selected_tables
"Show me all users","[""user""]"
"What subscriptions are active?","[""subscription""]"
"List all projects","[""project""]"
"Show me all project actions","[""project_action""]"
"What are the project phases?","[""project_phase""]"
"What are the project types?","[""project_type""]"
"Show me users and their subscriptions","[""user"", ""subscription""]"
"Which users belong to which subscription?","[""user"", ""subscription""]"
"Show me projects with their users","[""project"", ""user""]"
"What actions are associated with each project?","[""project"", ""project_action""]"
"Show project actions with their project types","[""project_action"", ""project_type""]"
"Show project actions with their project phases","[""project_action"", ""project_phase""]"
"Which user performed which project actions?","[""project_action"", ""user""]"
"Show me projects and their subscription information","[""project"", ""subscription""]"
"List project phases for each subscription","[""project_phase"", ""subscription""]"
"List project types for each subscription","[""project_type"", ""subscription""]"
"Show complete project information with actions and user details","[""project"", ""project_action"", ""user""]"
"Show project actions with project, user, and phase information","[""project_action"", ""project"", ""user"", ""project_phase""]"
"Show project actions with project, user, and type information","[""project_action"", ""project"", ""user"", ""project_type""]"
"Show users, their subscriptions, and their projects","[""user"", ""subscription"", ""project""]"
"Show project actions with all related information (project, user, type, phase)","[""project_action"", ""project"", ""user"", ""project_type"", ""project_phase""]"
"What are the next actions for each project?","[""project_action"", ""project""]"
"Show me projects that are completed","[""project""]"
"Which users have the most project actions?","[""project_action"", ""user""]"
"Show project actions filtered by date range","[""project_action""]"
"What are the project actions for a specific subscription?","[""project_action"", ""project"", ""subscription""]"
"Show me users who are free account holders","[""user""]"
"Which subscriptions are expiring soon?","[""subscription""]"
"Show project phases with their status (成約, 失注, etc.)","[""project_phase""]"
"What are the project actions for projects in a specific phase?","[""project_action"", ""project_phase""]"
"Show me projects with their client person names","[""project""]"
"Which project actions have phone numbers?","[""project_action""]"
"Show users with their last activity dates","[""user""]"
"What are the subscription feature flags?","[""subscription""]"
"Show project actions grouped by project type","[""project_action"", ""project_type""]"
"Show project actions grouped by project phase","[""project_action"", ""project_phase""]"
"Show me all projects with their subscription and user information","[""project"", ""subscription"", ""user""]"

